category,catalog,name,description,detail
Mascarilla anestesia,AMM01,Mascarilla de anestesia estándar,,"Talla: #1, #2, #3, #4, #5, #6"
Mascarilla anestesia,AMSTBM01,Mascarilla de silicona para anestesia tipo B,,"Talla: #3, #4"
Mascarilla anestesia,AMSTAM01,Mascarilla de silicona para anestesia tipo A,,"Talla: #1, #2, #3, #4, #5, #6"
Bolsa de respiración,BBLM01,Bolsa de respiración de látex,,"Volumen: 0.5L, 1.0L, 2.0L, 3.0L"
Bolsa de respiración,BBFLM01,Bolsa de respiración sin látex,,"Volumen: 0.5L, 1.0L, 2.0L, 3.0L"
Bolsa de respiración,BBSM01,Bolsa de respiración de silicona,,"Volumen: 0.5L, 1.0L, 2.0L, 3.0L"
Bolsa de respiración,BBRM01,Bolsa de respiración de goma,,"Volumen: 0.5L, 1.0L, 2.0L, 3.0L, 0.5L"
Resucitador,RESSEBSM01,Resucitador de SEBS,,Talla adulta
Resucitador,RESPVCM01,Resucitador de PVC,,Talla adulta
Resucitador,RESSM01,Resucitador de silicona,,Talla adulta
Resucitador,RESLSM01,Resucitador de silicona líquida,,Talla adulta
Mascarilla CPAP,CPAPMM01,Mascarilla CPAP (adulto),,"Talla: grande, mediana, pequeña"
Mascarilla CPR,CPRMM01,Mascarilla CPR,,"Talla: pediátrica, adulta"
Mascarilla Nasal,NMM01,Mascarilla nasal,,"Talla: grande, mediana, pequeña"
Conectores,2WMM01,Colector de 2 vías,,Talla unica
Conectores,3WMM01,Colector de 3 vías,,Talla unica
Conectores,3WMPM01,Colector de 3 vías con puerto,,Talla unica
Mascarilla laríngea,DLMPVCM01 ,Mascarilla laríngea desechable de PVC,,"Talla: #1, #1.5, #2, #2.5, #3, #4, #5"
Mascarilla laríngea,DLMSM01,Mascarilla laríngea desechable de silicona,,"Talla: #1, #1.5, #2, #2.5, #3, #4, #5"
Mascarilla laríngea,RLMSM01,Mascarilla laríngea de silicona reforzada,,"Talla: #1, #1.5, #2, #2.5, #3, #4, #5"
Mascarilla laríngea,SWLMAM01,Vía respiratoria con mascarilla laríngea de vía delgada,,"Talla: #1, #1.5, #2, #2.5, #3, #4, #5"
Mascarilla laríngea,2WLMM01,Mascarilla laríngea de 2 vías,,"Talla: #1, #1.5, #2, #2.5, #3, #4, #5"
Mascarilla laríngea,ALSM01,Set de laringoscopio de anestesia (75mm talla),,"Talla: 95mm, 100mm, 120mm, 130mm, 140mm, 160mm"
Vias respiratorias (Airway),NAM01,Vía respiratoria nasofaríngea,,Talla: 3.0:9.5 mm
Vias respiratorias (Airway),GUAM01,Vías respiratorias Guedel,,"Talla: 40mm(infante), 50mm(infante), 60mm(infante), 70mm(pediátrico), 80mm(pediátrico), 90mm(pediátrico), 100mm(adulto), 110mm(adulto), 120mm(adulto)"
Traqueotomía y Endotraqueal,TRTCM01,Cánula de traqueotomía con balón,,Talla #3:10
Traqueotomía y Endotraqueal,ETTCM01,Tubo endotraqueal con balón,,Talla #3:10
Traqueotomía y Endotraqueal,RETTCM01,Tubo endotraqueal reforzado con balón,,Talla #3:10
Traqueotomía y Endotraqueal,ETTUCM01,Tubo endotraqueal sin balón,,Talla #3:10
Traqueotomía y Endotraqueal,ETTOPM01,Tubo endotraqueal oral preformado,,Talla #Fr26:41
Traqueotomía y Endotraqueal,ETTNPM01,Tubo endotraqueal nasal preformado,,Talla #3:10
Tubo Endobronqueal (Lado izquierdo/derecho),ETBTM01,Tubo endobronquial (izquierda / derecha),,Talla #3:10
Mascarilla Respiratoria,TMM01,Máscara de traqueotomía,,"Talla: pediátrica, adulta"
Mascarilla Respiratoria,SOMM01,Mascarilla de oxígeno simple,,"Talla: extrapequeña, pequeña, mediana, grande, extragrande"
Mascarilla Respiratoria,NAMM01,Nebulizador con mascarilla de aerosol,,"Talla: extrapequeña, pequeña, mediana, grande, extragrande"
Mascarilla Respiratoria,NRRBM01,Non-rebreather con bolsa de depósito,,"Talla: extrapequeña, pequeña, mediana, grande, extragrande"
Mascarilla Respiratoria,MVMM01,Mascarilla de ventilación múltiple,,"Talla: extrapequeña, pequeña, mediana, grande, extragrande"
Mascarilla Respiratoria,AVMM01,Mascarilla con Venturi ajustable,,"Talla: extrapequeña, pequeña, mediana, grande, extragrande"
Atomizador y Nabulizador,ACM01,Taza atomizadora,,Talla unica
Atomizador y Nabulizador,CNM01 ,Nebulizador compresor,,Talla unica
Atomizador y Nabulizador,NMPM01,Nebulizador con pieza de montaje,,"Volumen: 6ml, 20ml"
Atomizador y Nabulizador,NOCM01,Cánula nasal oxigeno,,"Talla: neonatal, infante, pediátrica, adulta"
Atomizador y Nabulizador,CO2OCM01,Cánula CO2 oxigeno,,"Talla: neonatal, infante, pediátrica, adulta"
Atomizador y Nabulizador,HM01,Humidificador,,"Volumen: 200ml, 250ml, 500ml"
