category-es,category-en,catalog-es,catalog-en,name-es,name-en,description-es,description-en,detail-es,detail-en
Mascarilla laríngea,Laryngeal mask,DLMSM01,DLMSM01,Mascarilla laríngea desechable de silicona,Silicone disposable laryngeal mask,,,"Talla: #1, #1.5, #2, #2.5, #3, #4, #5","Size: #1, #1.5, #2, #2.5, #3, #4, #5"
Mascarilla laríngea,Laryngeal mask,RLMSM01,RLMSM01,Mascarilla laríngea de silicona reforzada,Silicone reinforced laryngeal mask,,,"Talla: #1, #1.5, #2, #2.5, #3, #4, #5","Size: #1, #1.5, #2, #2.5, #3, #4, #5"
Mascarilla laríngea,Laryngeal mask,SWLMAM01,SWLMAM01,Vía respiratoria con mascarilla laríngea de vía delgada,Slim way laryngeal mask airway,,,"Talla: #1, #1.5, #2, #2.5, #3, #4, #5","Size: #1, #1.5, #2, #2.5, #3, #4, #5"
Mascarilla laríngea,Laryngeal mask,2WLMM01,2WLMM01,Mascarilla laríngea de 2 vías,2 ways laryngeal mask,,,"Talla: #1, #1.5, #2, #2.5, #3, #4, #5","Size: #1, #1.5, #2, #2.5, #3, #4, #5"
Mascarilla laríngea,Laryngeal mask,ALSM01,ALSM01,Set de laringoscopio de anestesia (75mm talla),Anesthesia laryngoscope set,,,"Talla: 95mm, 100mm, 120mm, 130mm, 140mm, 160mm","Size: 95mm, 100mm, 120mm, 130mm, 140mm, 160mm"
Vias respiratorias (Airway),Airway,NAM01,NAM01,Vía respiratoria nasofaríngea,Nasopharyngeal airway,,,Talla: 3.0:9.5 mm,Size: 3.0:9.5 mm
Vias respiratorias (Airway),Airway,GUAM01,GUAM01,Vías respiratorias Guedel,Guedel airway,,,"Talla: 40mm(infante), 50mm(infante), 60mm(infante), 70mm(pediátrico), 80mm(pediátrico), 90mm(pediátrico), 100mm(adulto), 110mm(adulto), 120mm(adulto)","Size: 40mm(Infant), 50mm(Infant), 60mm(Infant), 70mm(pediátrico), 80mm(pediátrico), 90mm(pediátrico), 100mm(adulto), 110mm(adulto), 120mm(adulto)"
Traqueotomía y Endotraqueal,Tracheostomy & endotracheal,TRTCM01,TRTCM01,Cánula de traqueotomía con balón,Tracheostomy tube cuffed,,,Talla #3:10,Size #3:10
Traqueotomía y Endotraqueal,Tracheostomy & endotracheal,ETTCM01,ETTCM01,Tubo endotraqueal con balón,Endotracheal tube cuffed,,,Talla #3:10,Size #3:10
Traqueotomía y Endotraqueal,Tracheostomy & endotracheal,RETTCM01,RETTCM01,Tubo endotraqueal reforzado con balón,Reinforced endotracheal tube cuffed,,,Talla #3:10,Size #3:10
Traqueotomía y Endotraqueal,Tracheostomy & endotracheal,ETTUCM01,ETTUCM01,Tubo endotraqueal sin balón,Endotracheal tube uncuffed,,,Talla #3:10,Size #3:10
Traqueotomía y Endotraqueal,Tracheostomy & endotracheal,ETTOPM01,ETTOPM01,Tubo endotraqueal oral preformado,Endotracheal tube oral preformed,,,Talla #Fr26-41,Size #Fr26-41
Traqueotomía y Endotraqueal,Tracheostomy & endotracheal,ETTNPM01,ETTNPM01,Tubo endotraqueal nasal preformado,Endotracheal tube nasal preformed,,,Talla #3:10,Size #3:10
Tubo Endobronqueal (Lado izquierdo/derecho),Endobronchial tube (left/right),ETBTM01,ETBTM01,Tubo endobronquial (izquierda / derecha),Endobronchial tube (left/right),,,Talla #3:10,Size #3:10
Mascarilla Respiratoria,Respiratory mask,TMM01,TMM01,Máscara de traqueotomía,Tracheostomy mask,,,"Talla: pediátrica, adulta","Size: pediatric, adult"
Mascarilla Respiratoria,Respiratory mask,SOMM01,SOMM01,Mascarilla de oxígeno simple,Simple oxygen mask,,,"Talla: extrapequeña, pequeña, mediana, grande, extragrande","Size: extra small, small, medium, large, extra large"
Mascarilla Respiratoria,Respiratory mask,NAMM01,NAMM01,Nebulizador con mascarilla de aerosol,Nebulizer with aerosol mask,,,"Talla: extrapequeña, pequeña, mediana, grande, extragrande","Size: extra small, small, medium, large, extra large"
Mascarilla Respiratoria,Respiratory mask,NRRBM01,NRRBM01,Non-rebreather con bolsa de depósito,Non-rebreathe with reservoir bag,,,"Talla: extrapequeña, pequeña, mediana, grande, extragrande","Size: extra small, small, medium, large, extra large"
Mascarilla Respiratoria,Respiratory mask,MVMM01,MVMM01,Mascarilla de ventilación múltiple,Multi-vent mask,,,"Talla: extrapequeña, pequeña, mediana, grande, extragrande","Size: extra small, small, medium, large, extra large"
Mascarilla Respiratoria,Respiratory mask,AVMM01,AVMM01,Mascarilla con Venturi ajustable,Adjustable venturi mask,,,"Talla: extrapequeña, pequeña, mediana, grande, extragrande","Size: extra small, small, medium, large, extra large"
Atomizador y Nabulizador,Atomizing & nebulizer,ACM01,ACM01,Taza atomizadora,Atomizing cup,,,Talla unica,Unique size
Atomizador y Nabulizador,Atomizing & nebulizer,CNM01 ,CNM01 ,Nebulizador compresor,Compressor nebulizer,,,Talla unica,Unique size
Atomizador y Nabulizador,Atomizing & nebulizer,NMPM01,NMPM01,Nebulizador con pieza de montaje,Nebulizer with mount piece,,,"Volumen: 6ml, 20ml","Volume: 6ml, 20ml"
Atomizador y Nabulizador,Atomizing & nebulizer,NOCM01,NOCM01,Cánula nasal oxigeno,Nasal oxygen cannula,,,"Talla: neonatal, infante, pediátrica, adulta","Size: neonatal, Infant, pediatric, adult"
Atomizador y Nabulizador,Atomizing & nebulizer,CO2OCM01,CO2OCM01,Cánula CO2 oxigeno,CO2 oxygen cannula,,,"Talla: neonatal, infante, pediátrica, adulta","Size: neonatal, Infant, pediatric, adult"
Atomizador y Nabulizador,Atomizing & nebulizer,HM01,HM01,Humidificador,Humidifier,,,"Volumen: 200ml, 250ml, 500ml","Volume: 200ml, 250ml, 500ml"
